model,fnat,lrmsd,irmsd,dockQ
complex.28750_0_corrected_H_0001_T41,0.0,52.761,14.738,0.012
complex.2880_4_corrected_H_0001_T41,0.088,17.412,9.249,0.102
complex.28854_7_corrected_H_0001_T41,0.088,31.897,9.471,0.059
complex.28880_0_corrected_H_0001_T41,0.0,59.39,16.143,0.01
complex.28900_5_corrected_H_0001_T41,0.018,38.735,10.586,0.028
complex.28900_6_corrected_H_0001_T41,0.0,25.587,9.303,0.042
complex.28926_8_corrected_H_0001_T41,0.0,40.739,12.212,0.019
complex.28939_9_corrected_H_0001_T41,0.018,20.43,12.665,0.06
complex.29025_7_corrected_H_0001_T41,0.0,25.246,12.662,0.039
complex.29079_1_corrected_H_0001_T41,0.018,35.473,12.549,0.029
complex.29168_1_corrected_H_0001_T41,0.0,39.911,12.009,0.02
complex.29197_9_corrected_H_0001_T41,0.018,36.784,9.144,0.031
complex.29213_9_corrected_H_0001_T41,0.0,26.688,11.407,0.036
complex.29232_2_corrected_H_0001_T41,0.0,49.174,14.653,0.013
complex.29241_5_corrected_H_0001_T41,0.0,50.578,12.518,0.014
complex.29360_4_corrected_H_0001_T41,0.018,29.361,9.005,0.041
complex.29433_3_corrected_H_0001_T41,0.0,40.497,10.136,0.021
complex.29564_6_corrected_H_0001_T41,0.0,32.798,13.06,0.025
complex.29654_6_corrected_H_0001_T41,0.0,47.288,14.478,0.014
complex.29679_0_corrected_H_0001_T41,0.0,29.18,8.766,0.036
complex.29693_8_corrected_H_0001_T41,0.0,59.193,15.559,0.01
complex.296_0_corrected_H_0001_T41,0.088,19.304,12.496,0.088
complex.29724_5_corrected_H_0001_T41,0.0,49.544,15.366,0.013
complex.29760_1_corrected_H_0001_T41,0.0,21.226,12.214,0.051
complex.29792_1_corrected_H_0001_T41,0.0,38.086,13.224,0.02
complex.29816_6_corrected_H_0001_T41,0.0,49.381,13.785,0.013
complex.29866_8_corrected_H_0001_T41,0.0,54.105,14.531,0.012
complex.29932_5_corrected_H_0001_T41,0.053,25.332,10.325,0.058
complex.29942_5_corrected_H_0001_T41,0.07,24.325,10.68,0.066
complex.30005_0_corrected_H_0001_T41,0.0,31.632,9.207,0.031
complex.30042_5_corrected_H_0001_T41,0.0,23.772,13.236,0.042
complex.30112_7_corrected_H_0001_T41,0.0,28.622,13.717,0.031
complex.30119_8_corrected_H_0001_T41,0.0,28.092,9.177,0.037
complex.30124_2_corrected_H_0001_T41,0.0,58.595,16.366,0.01
complex.30136_4_corrected_H_0001_T41,0.0,49.92,12.751,0.014
complex.30139_1_corrected_H_0001_T41,0.088,25.755,9.637,0.07
complex.30171_2_corrected_H_0001_T41,0.0,51.095,12.174,0.014
complex.30200_6_corrected_H_0001_T41,0.018,30.052,12.858,0.035
complex.30205_2_corrected_H_0001_T41,0.0,22.855,11.816,0.046
complex.30246_6_corrected_H_0001_T41,0.018,36.015,9.51,0.032
complex.3031_9_corrected_H_0001_T41,0.053,23.571,12.964,0.06
complex.30470_8_corrected_H_0001_T41,0.0,58.344,15.079,0.01
complex.30471_6_corrected_H_0001_T41,0.0,40.076,13.356,0.019
complex.30560_6_corrected_H_0001_T41,0.0,36.87,9.277,0.025
complex.30611_0_corrected_H_0001_T41,0.0,57.029,15.259,0.01
complex.30874_0_corrected_H_0001_T41,0.018,34.762,12.875,0.029
complex.30915_2_corrected_H_0001_T41,0.0,51.923,14.603,0.012
complex.30997_1_corrected_H_0001_T41,0.0,29.32,14.529,0.029
complex.31030_3_corrected_H_0001_T41,0.0,48.466,11.888,0.015
complex.31095_0_corrected_H_0001_T41,0.0,52.498,14.052,0.012
complex.31190_8_corrected_H_0001_T41,0.035,20.944,13.301,0.063
complex.31206_7_corrected_H_0001_T41,0.0,49.923,12.381,0.014
complex.31235_0_corrected_H_0001_T41,0.0,44.382,13.334,0.016
complex.31253_7_corrected_H_0001_T41,0.0,41.982,12.218,0.018
complex.31299_0_corrected_H_0001_T41,0.0,50.962,12.755,0.014
complex.3129_9_corrected_H_0001_T41,0.0,35.712,11.841,0.023
complex.31312_2_corrected_H_0001_T41,0.0,27.879,11.719,0.034
complex.31399_9_corrected_H_0001_T41,0.0,53.676,14.14,0.012
complex.31428_8_corrected_H_0001_T41,0.0,25.979,12.757,0.037
complex.31440_4_corrected_H_0001_T41,0.053,17.169,6.481,0.1
complex.31477_0_corrected_H_0001_T41,0.0,38.3,13.719,0.02
complex.31487_2_corrected_H_0001_T41,0.018,34.196,9.115,0.034
complex.31571_4_corrected_H_0001_T41,0.018,36.616,10.068,0.03
complex.31594_5_corrected_H_0001_T41,0.0,29.523,13.202,0.03
complex.31680_0_corrected_H_0001_T41,0.0,33.735,10.392,0.027
complex.31698_8_corrected_H_0001_T41,0.0,21.411,12.058,0.05
complex.31748_5_corrected_H_0001_T41,0.0,33.383,10.355,0.027
complex.31764_3_corrected_H_0001_T41,0.0,36.666,10.49,0.024
complex.31812_1_corrected_H_0001_T41,0.0,37.607,12.791,0.021
complex.31817_7_corrected_H_0001_T41,0.0,51.238,15.011,0.012
complex.31819_6_corrected_H_0001_T41,0.0,15.484,8.976,0.086
complex.31865_5_corrected_H_0001_T41,0.0,27.061,7.82,0.042
complex.31885_2_corrected_H_0001_T41,0.0,52.07,14.388,0.012
complex.32036_2_corrected_H_0001_T41,0.0,26.215,12.481,0.036
complex.32061_5_corrected_H_0001_T41,0.0,36.441,9.66,0.025
complex.32120_3_corrected_H_0001_T41,0.0,23.563,11.442,0.044
complex.32141_3_corrected_H_0001_T41,0.035,29.734,9.995,0.044
complex.32342_0_corrected_H_0001_T41,0.0,42.192,11.063,0.019
complex.3238_3_corrected_H_0001_T41,0.035,25.294,10.654,0.052
complex.3239_2_corrected_H_0001_T41,0.158,15.693,5.886,0.149
complex.3247_2_corrected_H_0001_T41,0.053,22.497,7.526,0.072
complex.32577_1_corrected_H_0001_T41,0.0,27.237,9.207,0.038
complex.32607_8_corrected_H_0001_T41,0.018,33.43,10.966,0.032
complex.32627_6_corrected_H_0001_T41,0.0,45.024,11.996,0.017
complex.32774_8_corrected_H_0001_T41,0.0,31.196,13.903,0.027
complex.32777_2_corrected_H_0001_T41,0.0,28.978,14.116,0.03
complex.32824_8_corrected_H_0001_T41,0.088,28.306,10.897,0.063
complex.32880_0_corrected_H_0001_T41,0.0,22.652,11.452,0.047
complex.32957_9_corrected_H_0001_T41,0.0,46.657,13.181,0.015
complex.33023_1_corrected_H_0001_T41,0.105,30.318,13.038,0.064
complex.33197_5_corrected_H_0001_T41,0.035,30.667,10.607,0.042
complex.33242_9_corrected_H_0001_T41,0.0,47.018,11.538,0.016
complex.33246_1_corrected_H_0001_T41,0.018,30.811,9.638,0.037
complex.33278_5_corrected_H_0001_T41,0.0,53.912,13.418,0.012
complex.33304_4_corrected_H_0001_T41,0.018,36.668,9.981,0.03
complex.33334_3_corrected_H_0001_T41,0.0,23.432,12.387,0.044
complex.33352_1_corrected_H_0001_T41,0.07,32.703,10.22,0.052
complex.33473_7_corrected_H_0001_T41,0.0,24.397,12.186,0.041
complex.33495_1_corrected_H_0001_T41,0.0,30.169,8.762,0.034
complex.33516_6_corrected_H_0001_T41,0.0,29.116,13.822,0.03
complex.33672_6_corrected_H_0001_T41,0.018,21.693,9.611,0.058
complex.33698_0_corrected_H_0001_T41,0.07,33.028,10.356,0.051
complex.33718_7_corrected_H_0001_T41,0.0,58.448,14.771,0.01
complex.3380_6_corrected_H_0001_T41,0.053,21.951,9.882,0.069
complex.33818_1_corrected_H_0001_T41,0.0,59.828,14.795,0.01
complex.33878_5_corrected_H_0001_T41,0.018,34.925,8.86,0.034
complex.33987_6_corrected_H_0001_T41,0.0,30.78,12.285,0.029
complex.33993_7_corrected_H_0001_T41,0.0,46.07,14.247,0.015
complex.34086_3_corrected_H_0001_T41,0.0,26.249,12.381,0.036
complex.34276_4_corrected_H_0001_T41,0.0,39.628,12.57,0.019
complex.34321_7_corrected_H_0001_T41,0.018,24.982,8.958,0.05
complex.343_4_corrected_H_0001_T41,0.07,25.054,13.194,0.062
complex.34462_4_corrected_H_0001_T41,0.0,30.749,11.226,0.03
complex.34466_7_corrected_H_0001_T41,0.0,29.677,12.987,0.03
complex.34511_7_corrected_H_0001_T41,0.0,38.348,11.094,0.022
complex.34535_4_corrected_H_0001_T41,0.105,36.786,10.746,0.058
complex.34562_2_corrected_H_0001_T41,0.0,38.182,11.096,0.022
complex.34601_7_corrected_H_0001_T41,0.0,31.881,11.075,0.028
complex.34613_6_corrected_H_0001_T41,0.0,39.157,11.182,0.021
complex.34728_5_corrected_H_0001_T41,0.035,28.1,7.563,0.052
complex.34768_4_corrected_H_0001_T41,0.0,31.428,11.264,0.029
complex.34785_5_corrected_H_0001_T41,0.0,27.217,14.278,0.033
complex.347_7_corrected_H_0001_T41,0.018,28.769,8.575,0.043
complex.34813_0_corrected_H_0001_T41,0.0,46.602,13.298,0.015
complex.34815_4_corrected_H_0001_T41,0.0,26.069,11.399,0.038
complex.34846_1_corrected_H_0001_T41,0.0,58.478,14.007,0.011
complex.34860_7_corrected_H_0001_T41,0.0,28.439,11.956,0.033
complex.34891_5_corrected_H_0001_T41,0.018,20.676,13.147,0.058
complex.3489_3_corrected_H_0001_T41,0.018,20.355,6.899,0.07
complex.3494_4_corrected_H_0001_T41,0.018,24.726,13.296,0.045
complex.35065_8_corrected_H_0001_T41,0.0,49.168,11.998,0.015
complex.35119_6_corrected_H_0001_T41,0.0,57.361,15.492,0.01
complex.35137_8_corrected_H_0001_T41,0.0,39.661,12.534,0.019
complex.35154_4_corrected_H_0001_T41,0.0,24.26,12.196,0.041
complex.35186_9_corrected_H_0001_T41,0.0,35.372,14.472,0.022
complex.35239_2_corrected_H_0001_T41,0.0,22.086,12.603,0.048
complex.35255_2_corrected_H_0001_T41,0.035,19.944,12.348,0.068
complex.35260_8_corrected_H_0001_T41,0.0,26.487,7.586,0.044
complex.35262_6_corrected_H_0001_T41,0.0,57.984,14.132,0.011
complex.35271_0_corrected_H_0001_T41,0.0,48.724,14.098,0.014
complex.35302_9_corrected_H_0001_T41,0.0,52.89,12.956,0.013
complex.35363_4_corrected_H_0001_T41,0.0,24.61,12.835,0.04
complex.35424_2_corrected_H_0001_T41,0.0,50.6,14.147,0.013
complex.3546_8_corrected_H_0001_T41,0.0,37.03,12.658,0.021
complex.35523_5_corrected_H_0001_T41,0.0,37.945,12.617,0.021
complex.35529_0_corrected_H_0001_T41,0.0,45.674,11.18,0.017
complex.35566_0_corrected_H_0001_T41,0.0,47.404,11.635,0.016
complex.35753_9_corrected_H_0001_T41,0.018,21.769,10.347,0.057
complex.35856_9_corrected_H_0001_T41,0.018,29.174,10.837,0.038
complex.35873_4_corrected_H_0001_T41,0.0,42.225,12.115,0.018
complex.35920_6_corrected_H_0001_T41,0.0,36.91,9.883,0.024
complex.35934_0_corrected_H_0001_T41,0.0,32.269,10.651,0.028
complex.35971_7_corrected_H_0001_T41,0.0,41.672,10.011,0.021
complex.35975_8_corrected_H_0001_T41,0.018,33.44,9.833,0.034
complex.35988_6_corrected_H_0001_T41,0.035,25.014,13.093,0.051
complex.36014_5_corrected_H_0001_T41,0.105,30.872,13.361,0.063
complex.36044_2_corrected_H_0001_T41,0.0,34.435,8.932,0.028
complex.36074_9_corrected_H_0001_T41,0.0,49.74,14.583,0.013
complex.36088_1_corrected_H_0001_T41,0.018,39.122,10.65,0.027
complex.3608_7_corrected_H_0001_T41,0.053,21.119,11.861,0.069
complex.36102_5_corrected_H_0001_T41,0.0,28.136,12.727,0.032
complex.36110_4_corrected_H_0001_T41,0.0,48.318,12.806,0.015
complex.36215_1_corrected_H_0001_T41,0.0,48.256,13.733,0.014
complex.36507_2_corrected_H_0001_T41,0.0,39.004,11.379,0.021
complex.36509_5_corrected_H_0001_T41,0.0,18.915,11.982,0.061
complex.36617_9_corrected_H_0001_T41,0.0,50.433,11.923,0.014
complex.36632_2_corrected_H_0001_T41,0.0,57.068,15.333,0.01
complex.36640_8_corrected_H_0001_T41,0.0,22.566,11.509,0.047
complex.36681_1_corrected_H_0001_T41,0.0,30.671,9.56,0.032
complex.36866_1_corrected_H_0001_T41,0.0,43.214,14.017,0.016
complex.36866_6_corrected_H_0001_T41,0.0,51.115,14.957,0.012
complex.36902_9_corrected_H_0001_T41,0.0,58.865,18.311,0.009
complex.36910_6_corrected_H_0001_T41,0.0,42.171,12.289,0.018
complex.36921_5_corrected_H_0001_T41,0.0,36.896,10.154,0.024
complex.37016_1_corrected_H_0001_T41,0.0,39.16,12.298,0.02
complex.37096_4_corrected_H_0001_T41,0.0,37.403,16.21,0.019
complex.37289_2_corrected_H_0001_T41,0.053,32.894,13.817,0.042
complex.372_8_corrected_H_0001_T41,0.14,15.98,7.366,0.134
complex.37322_3_corrected_H_0001_T41,0.0,48.358,13.217,0.014
complex.37428_8_corrected_H_0001_T41,0.0,28.913,14.433,0.03
complex.37429_0_corrected_H_0001_T41,0.0,51.891,14.147,0.012
complex.3748_1_corrected_H_0001_T41,0.246,10.177,5.313,0.243
complex.37514_3_corrected_H_0001_T41,0.175,25.881,7.743,0.103
complex.37520_6_corrected_H_0001_T41,0.0,57.68,14.174,0.011
complex.37522_5_corrected_H_0001_T41,0.0,23.823,14.092,0.041
complex.37758_2_corrected_H_0001_T41,0.0,45.726,11.697,0.017
complex.37772_6_corrected_H_0001_T41,0.0,14.705,8.099,0.095
complex.37783_0_corrected_H_0001_T41,0.0,35.215,10.262,0.025
complex.3778_8_corrected_H_0001_T41,0.035,22.402,6.804,0.069
complex.37797_3_corrected_H_0001_T41,0.0,27.229,11.817,0.035
complex.37912_3_corrected_H_0001_T41,0.0,35.751,10.039,0.025
complex.37936_4_corrected_H_0001_T41,0.0,51.796,14.07,0.012
complex.37942_4_corrected_H_0001_T41,0.018,20.168,9.752,0.064
complex.37998_6_corrected_H_0001_T41,0.0,48.552,11.936,0.015
complex.38075_2_corrected_H_0001_T41,0.0,33.154,10.189,0.028
complex.38085_2_corrected_H_0001_T41,0.0,20.07,12.068,0.056
complex.38092_9_corrected_H_0001_T41,0.018,29.012,11.298,0.038
complex.3814_1_corrected_H_0001_T41,0.035,28.213,10.841,0.046
complex.38154_1_corrected_H_0001_T41,0.0,50.324,13.555,0.013
complex.38165_2_corrected_H_0001_T41,0.0,48.993,14.598,0.013
complex.38200_0_corrected_H_0001_T41,0.035,27.454,11.604,0.046
complex.38217_5_corrected_H_0001_T41,0.0,49.227,13.275,0.014
complex.3823_2_corrected_H_0001_T41,0.053,17.563,5.36,0.105
complex.3823_7_corrected_H_0001_T41,0.0,47.335,11.36,0.016
complex.38291_7_corrected_H_0001_T41,0.0,46.879,12.613,0.015
complex.38317_3_corrected_H_0001_T41,0.035,31.286,9.613,0.043
complex.3838_2_corrected_H_0001_T41,0.105,13.937,7.354,0.139
complex.38392_1_corrected_H_0001_T41,0.07,26.559,8.492,0.064
complex.38456_6_corrected_H_0001_T41,0.0,56.767,15.226,0.011
complex.38479_2_corrected_H_0001_T41,0.0,47.704,14.278,0.014
complex.3847_7_corrected_H_0001_T41,0.105,19.858,12.212,0.092
complex.38543_5_corrected_H_0001_T41,0.0,59.633,15.112,0.01
complex.38731_2_corrected_H_0001_T41,0.0,41.167,16.327,0.016
complex.38887_6_corrected_H_0001_T41,0.0,43.714,12.291,0.017
complex.38899_8_corrected_H_0001_T41,0.105,23.757,8.865,0.082
complex.38904_1_corrected_H_0001_T41,0.053,34.247,12.191,0.042
complex.38936_8_corrected_H_0001_T41,0.0,50.385,12.764,0.014
complex.38944_8_corrected_H_0001_T41,0.0,43.172,10.352,0.019
complex.39027_0_corrected_H_0001_T41,0.0,41.143,10.933,0.02
complex.39139_8_corrected_H_0001_T41,0.0,22.528,13.786,0.045
complex.39161_7_corrected_H_0001_T41,0.0,31.762,15.167,0.026
complex.39167_4_corrected_H_0001_T41,0.0,31.644,14.088,0.026
complex.39169_8_corrected_H_0001_T41,0.053,22.656,11.587,0.064
complex.39183_3_corrected_H_0001_T41,0.0,22.24,13.167,0.047
complex.39228_2_corrected_H_0001_T41,0.0,47.574,13.239,0.015
complex.3928_7_corrected_H_0001_T41,0.0,30.115,8.766,0.034
complex.39325_8_corrected_H_0001_T41,0.0,49.831,12.711,0.014
complex.39430_6_corrected_H_0001_T41,0.053,10.509,6.094,0.168
complex.39457_4_corrected_H_0001_T41,0.0,38.209,11.245,0.022
complex.39495_5_corrected_H_0001_T41,0.018,35.807,12.092,0.029
complex.39560_6_corrected_H_0001_T41,0.0,59.505,17.179,0.009
complex.39583_4_corrected_H_0001_T41,0.0,59.926,16.213,0.009
complex.39596_2_corrected_H_0001_T41,0.0,49.774,14.289,0.013
complex.39601_7_corrected_H_0001_T41,0.0,30.584,14.173,0.028
complex.39625_7_corrected_H_0001_T41,0.0,49.455,12.652,0.014
complex.3970_7_corrected_H_0001_T41,0.07,20.332,6.416,0.09
complex.39713_9_corrected_H_0001_T41,0.0,55.689,19.544,0.01
complex.39721_4_corrected_H_0001_T41,0.0,29.748,15.581,0.028
complex.39788_3_corrected_H_0001_T41,0.0,28.837,12.981,0.031
complex.39854_7_corrected_H_0001_T41,0.0,48.056,13.365,0.014
complex.39883_1_corrected_H_0001_T41,0.035,18.985,10.197,0.074
complex.39996_2_corrected_H_0001_T41,0.035,27.23,11.817,0.047
complex.40001_5_corrected_H_0001_T41,0.0,52.832,13.027,0.013
complex.40052_2_corrected_H_0001_T41,0.0,37.19,10.768,0.023
complex.40071_7_corrected_H_0001_T41,0.0,30.49,10.523,0.031
complex.40076_6_corrected_H_0001_T41,0.0,27.19,12.017,0.035
complex.40085_2_corrected_H_0001_T41,0.0,58.192,14.192,0.011
complex.40131_8_corrected_H_0001_T41,0.0,50.951,13.93,0.013
complex.40140_4_corrected_H_0001_T41,0.0,60.479,16.657,0.009
complex.4021_0_corrected_H_0001_T41,0.035,22.271,7.606,0.067
complex.40262_7_corrected_H_0001_T41,0.018,22.815,13.3,0.051
complex.4029_4_corrected_H_0001_T41,0.088,19.006,12.569,0.089
complex.40365_3_corrected_H_0001_T41,0.158,27.914,8.318,0.091
complex.40387_2_corrected_H_0001_T41,0.0,36.285,16.091,0.02
complex.4039_1_corrected_H_0001_T41,0.0,42.744,12.134,0.018
complex.40437_5_corrected_H_0001_T41,0.0,53.546,15.135,0.011
complex.40490_2_corrected_H_0001_T41,0.0,50.018,13.392,0.013
complex.40563_6_corrected_H_0001_T41,0.0,29.752,8.77,0.035
complex.40569_4_corrected_H_0001_T41,0.0,36.95,9.271,0.025
complex.40580_8_corrected_H_0001_T41,0.0,39.648,12.382,0.019
complex.40688_8_corrected_H_0001_T41,0.0,19.902,8.821,0.061
complex.40769_2_corrected_H_0001_T41,0.0,45.384,10.938,0.017
complex.40775_8_corrected_H_0001_T41,0.018,35.6,13.844,0.028
complex.40837_3_corrected_H_0001_T41,0.0,36.781,11.423,0.023
complex.4085_8_corrected_H_0001_T41,0.281,10.589,4.351,0.26
complex.40960_5_corrected_H_0001_T41,0.0,18.618,10.214,0.065
complex.409_7_corrected_H_0001_T41,0.053,22.29,8.38,0.07
complex.41030_9_corrected_H_0001_T41,0.0,30.907,13.901,0.027
complex.41074_5_corrected_H_0001_T41,0.0,45.846,13.215,0.015
complex.41075_9_corrected_H_0001_T41,0.0,23.4,12.348,0.044
complex.41149_0_corrected_H_0001_T41,0.0,59.45,15.009,0.01
complex.41149_5_corrected_H_0001_T41,0.0,30.384,8.823,0.034
complex.41175_4_corrected_H_0001_T41,0.0,27.099,13.377,0.034
complex.41299_3_corrected_H_0001_T41,0.0,34.934,9.971,0.026
complex.41336_1_corrected_H_0001_T41,0.0,51.742,13.625,0.013
complex.41357_4_corrected_H_0001_T41,0.0,34.679,12.867,0.023
complex.41390_8_corrected_H_0001_T41,0.0,29.503,13.714,0.029
complex.41566_0_corrected_H_0001_T41,0.0,36.248,10.966,0.023
complex.41575_7_corrected_H_0001_T41,0.0,24.91,13.452,0.039
complex.41698_7_corrected_H_0001_T41,0.0,55.665,14.441,0.011
complex.41721_4_corrected_H_0001_T41,0.0,28.395,14.198,0.031
complex.41732_7_corrected_H_0001_T41,0.0,48.338,11.716,0.015
complex.41770_3_corrected_H_0001_T41,0.0,28.201,15.042,0.031
complex.4195_1_corrected_H_0001_T41,0.07,20.921,10.622,0.077
complex.42127_6_corrected_H_0001_T41,0.018,34.447,9.951,0.032
complex.42131_3_corrected_H_0001_T41,0.0,48.09,15.261,0.013
complex.42182_5_corrected_H_0001_T41,0.018,38.174,12.599,0.026
complex.42192_9_corrected_H_0001_T41,0.0,27.658,12.673,0.033
complex.42264_5_corrected_H_0001_T41,0.193,25.356,8.026,0.109
complex.42307_7_corrected_H_0001_T41,0.018,36.401,11.246,0.029
complex.42336_4_corrected_H_0001_T41,0.0,53.906,13.632,0.012
complex.42383_9_corrected_H_0001_T41,0.018,40.276,12.695,0.025
complex.42469_1_corrected_H_0001_T41,0.0,34.015,11.136,0.026
complex.42595_3_corrected_H_0001_T41,0.0,46.262,13.23,0.015
complex.42604_1_corrected_H_0001_T41,0.0,46.876,13.881,0.014
complex.42614_0_corrected_H_0001_T41,0.018,17.73,10.391,0.075
complex.4261_6_corrected_H_0001_T41,0.018,23.293,8.297,0.056
complex.42747_7_corrected_H_0001_T41,0.0,58.818,14.136,0.011
complex.42789_1_corrected_H_0001_T41,0.0,29.536,14.445,0.029
complex.42830_7_corrected_H_0001_T41,0.0,19.685,11.948,0.058
complex.42866_0_corrected_H_0001_T41,0.0,48.708,13.526,0.014
complex.42875_8_corrected_H_0001_T41,0.035,34.765,14.115,0.034
complex.43037_1_corrected_H_0001_T41,0.0,20.942,12.933,0.052
complex.43045_4_corrected_H_0001_T41,0.0,37.426,13.5,0.02
complex.43132_8_corrected_H_0001_T41,0.018,36.765,11.706,0.028
complex.43186_7_corrected_H_0001_T41,0.018,29.032,11.071,0.038
complex.4319_8_corrected_H_0001_T41,0.0,31.309,11.959,0.028
complex.43268_2_corrected_H_0001_T41,0.0,50.837,13.883,0.013
complex.43312_2_corrected_H_0001_T41,0.0,29.828,13.142,0.029
complex.43384_8_corrected_H_0001_T41,0.0,33.32,9.586,0.028
complex.43389_4_corrected_H_0001_T41,0.0,54.579,13.812,0.012
complex.433_7_corrected_H_0001_T41,0.07,18.5,10.908,0.088
complex.43409_0_corrected_H_0001_T41,0.07,30.213,9.008,0.057
complex.43424_5_corrected_H_0001_T41,0.0,43.287,10.756,0.019
complex.4343_1_corrected_H_0001_T41,0.018,15.562,7.259,0.096
complex.43500_0_corrected_H_0001_T41,0.088,18.358,5.821,0.109
complex.43628_2_corrected_H_0001_T41,0.018,35.84,10.742,0.03
complex.43668_3_corrected_H_0001_T41,0.035,20.918,11.835,0.064
complex.43736_8_corrected_H_0001_T41,0.0,54.924,13.87,0.012
complex.43897_1_corrected_H_0001_T41,0.0,27.569,7.523,0.042
complex.43915_8_corrected_H_0001_T41,0.0,22.313,12.482,0.047
complex.44059_4_corrected_H_0001_T41,0.0,32.942,10.486,0.027
complex.44062_0_corrected_H_0001_T41,0.053,13.261,7.454,0.128
complex.44187_0_corrected_H_0001_T41,0.0,57.787,14.568,0.011
complex.44194_5_corrected_H_0001_T41,0.0,17.582,10.987,0.069
complex.44304_2_corrected_H_0001_T41,0.0,59.853,18.334,0.009
complex.44387_8_corrected_H_0001_T41,0.0,50.884,13.831,0.013
complex.44391_8_corrected_H_0001_T41,0.0,55.508,14.077,0.011
complex.44453_0_corrected_H_0001_T41,0.0,52.458,13.557,0.013
complex.44549_8_corrected_H_0001_T41,0.0,61.136,16.57,0.009
complex.44641_6_corrected_H_0001_T41,0.035,37.868,10.44,0.034
complex.44666_4_corrected_H_0001_T41,0.0,56.869,14.474,0.011
complex.44685_1_corrected_H_0001_T41,0.0,57.994,14.203,0.011
complex.44735_7_corrected_H_0001_T41,0.0,39.444,12.3,0.02
complex.44757_0_corrected_H_0001_T41,0.0,56.264,14.785,0.011
complex.44766_2_corrected_H_0001_T41,0.0,35.576,11.08,0.024
complex.44891_2_corrected_H_0001_T41,0.0,59.137,16.004,0.01
complex.44907_1_corrected_H_0001_T41,0.0,29.937,8.514,0.035
complex.4492_1_corrected_H_0001_T41,0.035,27.926,7.982,0.051
complex.44944_4_corrected_H_0001_T41,0.0,19.763,11.64,0.057
complex.44978_8_corrected_H_0001_T41,0.0,50.389,15.489,0.012
complex.44992_4_corrected_H_0001_T41,0.0,50.161,14.806,0.013
complex.45056_1_corrected_H_0001_T41,0.0,56.674,14.343,0.011
complex.4506_1_corrected_H_0001_T41,0.14,15.303,5.911,0.146
complex.45108_7_corrected_H_0001_T41,0.053,25.444,6.092,0.07
complex.45179_4_corrected_H_0001_T41,0.035,36.962,12.023,0.034
complex.45215_8_corrected_H_0001_T41,0.0,39.379,15.225,0.018
complex.45244_4_corrected_H_0001_T41,0.0,50.399,15.337,0.012
complex.45272_0_corrected_H_0001_T41,0.0,50.747,13.277,0.013
complex.45276_1_corrected_H_0001_T41,0.0,58.885,14.835,0.01
complex.4532_7_corrected_H_0001_T41,0.07,21.085,9.07,0.079
complex.45386_5_corrected_H_0001_T41,0.0,27.634,12.945,0.033
complex.45388_9_corrected_H_0001_T41,0.0,29.1,12.917,0.031
complex.45415_2_corrected_H_0001_T41,0.053,36.119,10.748,0.041
complex.45490_8_corrected_H_0001_T41,0.0,56.956,15.153,0.01
complex.45535_8_corrected_H_0001_T41,0.0,35.844,14.823,0.021
complex.45561_3_corrected_H_0001_T41,0.035,29.723,11.759,0.042
complex.45605_5_corrected_H_0001_T41,0.0,53.253,14.308,0.012
complex.45777_8_corrected_H_0001_T41,0.0,18.993,9.077,0.064
complex.45829_7_corrected_H_0001_T41,0.0,39.019,12.631,0.02
complex.4586_7_corrected_H_0001_T41,0.053,25.297,12.726,0.056
complex.45899_3_corrected_H_0001_T41,0.035,26.413,7.263,0.057
complex.4604_6_corrected_H_0001_T41,0.0,47.52,11.694,0.016
complex.46065_4_corrected_H_0001_T41,0.0,51.342,13.827,0.013
complex.46207_6_corrected_H_0001_T41,0.0,21.582,12.562,0.049
complex.46248_6_corrected_H_0001_T41,0.035,17.094,9.558,0.086
complex.46310_7_corrected_H_0001_T41,0.0,57.95,17.331,0.009
complex.46439_7_corrected_H_0001_T41,0.0,30.536,11.231,0.03
complex.46448_3_corrected_H_0001_T41,0.0,37.534,14.801,0.02
complex.46487_8_corrected_H_0001_T41,0.053,22.767,10.906,0.065
complex.46517_5_corrected_H_0001_T41,0.0,60.103,15.124,0.01
complex.4664_7_corrected_H_0001_T41,0.0,51.42,13.339,0.013
complex.46778_3_corrected_H_0001_T41,0.018,16.23,9.874,0.085
complex.46783_4_corrected_H_0001_T41,0.0,49.582,11.635,0.015
complex.46790_7_corrected_H_0001_T41,0.0,38.631,11.839,0.021
complex.46898_9_corrected_H_0001_T41,0.0,26.434,11.483,0.037
complex.46924_0_corrected_H_0001_T41,0.0,28.968,9.275,0.035
complex.46989_6_corrected_H_0001_T41,0.0,37.941,13.058,0.02
complex.4703_7_corrected_H_0001_T41,0.035,24.936,13.107,0.051
complex.47066_1_corrected_H_0001_T41,0.0,22.142,12.164,0.048
complex.47081_7_corrected_H_0001_T41,0.0,51.399,13.95,0.013
complex.47120_9_corrected_H_0001_T41,0.0,24.673,13.198,0.04
complex.47175_6_corrected_H_0001_T41,0.0,58.283,16.215,0.01
complex.47217_2_corrected_H_0001_T41,0.0,20.051,12.005,0.056
complex.4727_3_corrected_H_0001_T41,0.088,10.779,6.011,0.177
complex.47286_6_corrected_H_0001_T41,0.07,39.489,11.248,0.044
complex.47291_9_corrected_H_0001_T41,0.0,53.336,14.406,0.012
complex.47309_3_corrected_H_0001_T41,0.018,34.746,10.583,0.031
